x location,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,,,,,,62,370,473,142,39,,,6,,,,,273,1439,1471
2,,,,,100,665,431,512,747,67,,,,16,326,1117,497,966,1759,1789
3,,,,,,197,1206,1269,339,1073,710,,,,100,1670,4096,1873,937,645
4,2,,,,,,502,1227,763,398,450,180,34,,,432,2858,5047,2734,996
5,13,,,,,,,477,1800,2187,2890,907,266,786,44,71,867,1794,3833,3662
6,,34,,,,,36,173,1660,2647,5279,5675,2964,1225,3483,1744,560,1512,2616,2377
7,17,,44,95,100,155,1438,439,754,2619,2741,6511,6646,6076,7206,5212,1507,305,751,2490
8,6,8,95,164,203,1439,1770,4615,1191,1169,2634,7080,10053,3673,1465,1452,1129,775,409,655
9,,,113,719,677,258,1601,1225,5915,3808,560,669,3819,4690,4174,4347,3925,999,1259,406
10,,,168,586,3191,3919,1273,647,888,1238,3208,820,341,3134,5849,4341,4790,3171,779,1113
11,,,86,1401,2153,5989,8537,5468,3778,1156,805,1341,1306,1524,690,2029,329,78,1405,486
12,100,,1052,654,1329,1082,6685,5477,7009,1641,1434,1371,1769,1253,1060,218,822,88,7,273
13,,473,267,1867,2031,1610,691,7760,4510,1874,1056,978,399,1761,1705,947,128,547,,
14,100,166,1554,1785,841,1180,1573,420,4213,1909,2073,1496,1175,739,664,1125,622,41,221,
15,,172,642,1612,222,58,1407,1229,212,2181,1340,469,1038,870,225,234,274,200,29,100
16,56,135,501,1326,1135,614,160,1251,1060,793,564,703,225,68,269,37,91,20,,
17,130,564,445,492,1649,1237,1123,88,1331,706,234,194,76,66,,58,,,146,446
18,509,566,692,738,645,1155,1067,1166,1201,2310,606,329,880,596,1075,861,699,286,100,101
19,54,610,482,617,930,1158,242,852,2551,312,2201,883,808,2245,2420,2237,730,286,116,98
20,,92,875,589,1131,434,727,75,735,3664,1959,1658,823,645,372,357,1558,516,66,1
